adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/ehvo7achvrJOBHZfL1aWtPbuuuD.jpg,"[16, 35]",218613,['JP'],ja,てんぷる,"""I know! I'll become a monk!"" Akagami Akemitsu has spent his days and nights absorbed in studying and part-time work in an effort to distance himself from his family, which is notorious as a household of philanderers. One day, he falls in love at first sight with a girl named Aoba Yuzuki, and suddenly he's constantly drowning in worldly desires. Hoping to fight back against his genes and live a more stoic life, he enters a temple... only to find out that it's a convent filled with gorgeous girls! So begins a new rom-com about the temple life of three adorable triplets and two beautiful freeloaders!",153.364,/3zGVf8svzcsFD4MyWpPfUcXYRVK.jpg,2023-07-09,False,TenPuru,6.0,25
False,/qVmgq1KXBp6BF2EqYPPaUG9iUGy.jpg,"[80, 18, 9648]",764,['GB'],en,Midsomer Murders,"The peacefulness of the Midsomer community is shattered by violent crimes, suspects are placed under suspicion, and it is up to a veteran DCI and his young sergeant to calmly and diligently eliminate the innocent and ruthlessly pursue the guilty. ",135.4548,/pz7tsWxe0TTdfJnWPjZAEnrSl5M.jpg,1997-03-23,False,Midsomer Murders,7.489,357
False,/lthkKBLe1rX6iThgVFg22O02sJw.jpg,"[16, 10759, 10765]",95479,['JP'],ja,呪術廻戦,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",117.4898,/fHpKWq9ayzSk8nSwqRuaAUemRKh.jpg,2020-10-03,False,JUJUTSU KAISEN,8.577,4500
False,/ynSOcgDLZfdLCZfRSYZGiTgYJVo.jpg,"[37, 18]",73586,['US'],en,Yellowstone,"Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States. Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.",139.6296,/vOYfRZ0NpUK5hG2CB2dJFnYJlGe.jpg,2018-06-20,False,Yellowstone,8.269,3186
False,/g1LJLlmWP74zv9yXKEXm7g9p10O.jpg,"[10759, 80, 18]",296206,['KR'],ko,김부장,"When an unassuming dad's daughter goes missing, he dusts off his old black-ops skills to track her down — only to attract the wrong kind of attention.",141.6691,/mxa7YxVln3Rwnd2Va82PoclTznj.jpg,2026-06-26,False,Agent Kim Reactivated,8.625,8
False,/pptMFFYI3Rs15I8HovmJTrnTM8L.jpg,[],4304,['US'],en,Xplay,"Xplay (previously GameSpot TV and Extended Play) is a TV program about video games. The program, known for its reviews and comedy skits, airs on G4 in the United States and had aired on G4 Canada in Canada (and briefly on YTV during its time as GameSpot TV), FUEL TV in Australia, Ego in Israel, GXT in Italy, MTV Russia & Rambler TV in Russia, Solar Sports in the Philippines and Adult Swim and MuchMusic in Latin America. The show ran between July 4, 1998, and January 23, 2013, and returned in November 2021 as a part of G4's relaunch.",197.373,/7ynD7g4U9hOODu1Jzf6VN4zQc6a.jpg,2003-04-28,False,Xplay,8.0,3
False,/tsRy63Mu5cu8etL1X7ZLyf7UP1M.jpg,"[18, 80]",1396,['US'],en,Breaking Bad,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",144.1787,/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg,2008-01-20,False,Breaking Bad,8.947,17999
False,/r0Q6eeN9L1ORL9QsV0Sg8ZV3vnv.jpg,[18],1408,['US'],en,House,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",137.7691,/3Cz7ySOQJmqiuTdrc6CY0r65yDI.jpg,2004-11-16,False,House,8.6,7648
False,/5s9XHTB9SLPdg3mNU6BlSLnZ9Qq.jpg,"[18, 35]",34307,['US'],en,Shameless,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",136.7263,/ifo31fMWLmyOVpdak9K0kY4jldQ.jpg,2011-01-09,False,Shameless,8.168,3364
False,/4kQiFnWtwndtCyKMszVJNPEE1kY.jpg,"[16, 18]",70998,['JP'],ja,僧侶と交わる色欲の夜に…,"At a high school reunion, Mio Fukatani reunites with a classmate she has not seen in years—Takahide Kujou. She had always wanted to know more about the kind-hearted boy in high school, but once she realizes that Kujou has become a monk, she believes that any chance of getting to know him romantically is slim. Deciding to drink away her sorrows, she ends up walking home drunk, and surprisingly, running into Kujou who helps her get home.

However, once inside, Kujou's lust for Mio becomes apparent and the two share an erotic night of passion. As this steamy romance blossoms between these two unlikely lovers, Mio and Kujou will undoubtedly spend many nights together in utter ecstasy.",154.4874,/ueI9EeoRdMVa7hWEm21nQEU8Zv3.jpg,2017-04-03,False,Souryo to Majiwaru Shikiyoku no Yoru ni...,5.3,14
False,/m5AiGZT678lFmGAnBJUn4GqjGIu.jpg,"[35, 18]",315038,['IN'],ta,ரிசார்ட்,A debt-ridden room service boy rises to challenge a ruthless kitchen at a luxurious beachside haven.,144.2736,/cL7iOwqapRRb7eKKlXI4FDaP6rh.jpg,2026-03-13,False,Resort,0.0,0
False,/7j4ug9B6JXVeh5HhQjjPScrdj4Z.jpg,"[80, 10759, 18]",71790,['US'],en,S.W.A.T.,"A Los Angeles S.W.A.T. sergeant is assigned to lead a highly skilled unit in the community where he grew up. Torn between loyalty to the streets, where the cops are sometimes the enemy, and allegiance to his brothers in blue, he strategically straddles the two worlds.",146.4767,/1l7vsAIkqOzrqiPwjO27Cb5QdfJ.jpg,2017-11-02,False,S.W.A.T.,8.0,1575
False,/ysYPo1JqzHiHoIHpW9wXCtvY1LW.jpg,[35],284725,['US'],en,Not Suitable for Work,"Follow five work-obsessed twenty-somethings striving for professional success and, if they have time, personal happiness in Manhattan's most glamorous neighborhood, Murray Hill.",141.5315,/hpucDFIvWwcn6sXk8EOEX0dbY0C.jpg,2026-06-02,False,Not Suitable for Work,6.091,33
False,/56v2KjBlU4XaOv9rVYEQypROD7P.jpg,"[10759, 9648, 10765]",66732,['US'],en,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",130.8752,/uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg,2016-07-15,False,Stranger Things,8.562,21356
False,/5IBSPGPAEFEkEJo4leqvpq0RcKf.jpg,[16],233643,['JP'],ja,しーくれっとみっしょん～潜入捜査官は絶対に負けない！～,"Narcotics Enforcement Agent Riko Ikazuchi is undercover with her junior colleague Noma in an apartment that serves as the hideout for a criminal organization. Despite Riko and Noma posing as a newlywed couple, the criminals begin to suspect them after not hearing any marital intimacy during the night. To convince them that they are a loving couple, Noma starts touching Riko's body...",138.7182,/xZV8e1iKi85PFZlbQBdznvtpAVJ.jpg,2023-10-02,False,Secret Mission - Undercover Agents Never Back Down!,6.1,25
