adult,backdrop_path,id,name,original_name,overview,poster_path,media_type,original_language,genre_ids,popularity,first_air_date,softcore,vote_average,vote_count,origin_country,title,original_title,release_date,video
False,/3eUyLEF5M0ky3h6KJsWiWzaakB8.jpg,1159559,,,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,movie,en,"[27, 9648, 80]",47.3863,,False,6.192,1085,,Scream 7,Scream 7,2026-02-25,False
False,/lthkKBLe1rX6iThgVFg22O02sJw.jpg,95479,JUJUTSU KAISEN,呪術廻戦,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",/fHpKWq9ayzSk8nSwqRuaAUemRKh.jpg,tv,ja,"[16, 10759, 10765]",117.4898,2020-10-03,False,8.577,4501,['JP'],,,,
False,/ikyzq678qnHtRY8ZiQJzK4hiOyW.jpg,1382832,,,A group of holidaymakers must fight for their lives against a rampaging hippo on the loose after becoming lost in the Louisiana swamplands.,/kHbUXJhXYV7UGiStIgCyplWsYKd.jpg,movie,en,"[53, 27]",22.0997,,False,6.691,34,,HUNGRY,Hungry,2026-06-03,False
False,/Ab6pvysyQnsUsKKMQJAbsvqsb6S.jpg,284029,The Cat and the Dragon,猫と竜,"An orphan since hatched, a lone dragon named “Uncle Wings” is taken in by a family of magic-wielding cats and raised as one of their own. As Uncle Wings grows, he becomes the cats’ protector, determined to keep them safe from humans. But as he watches the cats connect with humans using their magic, Uncle Wings slowly starts to warm up to humans in this heartfelt, bittersweet tale.",/yZ116ytKSsar7EaeDMWyDBbaUQH.jpg,tv,ja,"[16, 10765]",1.219,2026-07-04,False,0.0,0,['JP'],,,,
False,/jOxZVOYxghHw6ofH1QFG6ZQUt2V.jpg,300131,KILL BLUE,キルアオ,"Legendary hitman Juzo Ogami has never failed an assignment. But after a mission, he’s stung by a mysterious wasp and wakes up in the body of a 13-year-old boy! And to make things even weirder, he receives a bizarre new order: infiltrate a middle school. Now the once-feared assassin must balance the chaos of school life with his deadly work, all while searching for a way to regain his adult body!",/lqly2Kha1aFu2lJ3e82ZxllEjBj.jpg,tv,ja,"[16, 10759, 35]",17.8855,2026-04-11,False,8.318,22,['JP'],,,,
False,/qO55CD8tgVL1T4WKn6zYFFiD6lL.jpg,1439930,,,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,movie,en,"[28, 18, 80]",125.4863,,False,8.344,1727,,The Punisher: One Last Kill,The Punisher: One Last Kill,2026-05-12,False
False,/dT7ARI93vfbP1Tf8fuVfDFMyQqE.jpg,204137,The Doomies,The Doomies,"When best friends Bobby and Romy mistakenly open up a gateway to another world, they turn their sleepy coastal town into a hotspot for terrifying creatures of doom. Roped into an epic supernatural mystery, they will cross paths with the so-called “Chosen One” and do battle with both literal and inner monsters.",/zTUuiutD2Kj8lwd552uX8dzxA24.jpg,tv,en,"[16, 10765, 10759, 35, 10751]",12.3511,2026-06-26,False,10.0,1,['US'],,,,
False,/hGCQ0tsJMpKjfrnCyYY0kMY2kY1.jpg,322430,The Polygamist,The Polygamist,"Social media darling, Joyce, is the picture of marital perfection — until her cheating husband's conquests ignite a scandalous emotional meltdown.",/emnQZe22rYBCsbZ7h1TUAkYEzrZ.jpg,tv,zu,"[18, 10766]",125.4245,2026-06-12,False,8.222,45,['ZA'],,,,
False,/xr8cnK9SdDKdqYiWlBthQcvBJvH.jpg,1245859,,,"Against the backdrop of 18th century England, a massive pox outbreak, and Jacobite uprising – Sir Chauncey Savage and Lady Savage blindly pursue a better life. It's not without a tinge of irony that their family name is the Savages, for this is a Savage House indeed, filled with duels, decadence, and bloodshed.",/vPBy6cDPYMcj35lpl3W5kPEc2OB.jpg,movie,en,"[18, 35]",9.7132,,False,6.857,7,,Savage House,Savage House,2026-06-05,False
False,/A5Tz6ogGt4VV8NESG9oWVct5bo1.jpg,1212763,,,"After the loss of her husband, a woman seeks solace with her in-laws. As one by one they transform into deadites, she comes to discover that the vows she took in life - survive even in death.",/syGSQh7bqPHCFRhwHewHdR5EqjD.jpg,movie,en,"[27, 53]",20.0168,,False,0.0,0,,Evil Dead Burn,Evil Dead Burn,2026-07-08,False
False,/kKF4gEiBDArhONlCcunHVgBp3bA.jpg,1171145,,,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",/tVvpFIoteRHNnoZMhdnwIVwJpCA.jpg,movie,en,"[80, 53]",40.0213,,False,7.0,1111,,Crime 101,Crime 101,2026-02-11,False
False,/rw1WmxUvmbwRsbAX12m6toIg04j.jpg,1325734,,,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,/qhGCY6DIemLoCi7x1GuEt98m4JF.jpg,movie,en,"[10749, 35, 18]",37.6125,,False,6.963,1092,,The Drama,The Drama,2026-04-01,False
False,/1I6QPJ2s6lch1WYO54Cv2j2Y8Z4.jpg,1217584,,,"Years have passed since his last adventure, but José Luis Torrente, the most politically incorrect former cop in Spain, still sees himself as a national hero.",/yrDKwAdZRJjoQ9RZwzRGPpMC7U1.jpg,movie,es,[35],57.0269,,False,6.18,50,,Torrente for President,Torrente Presidente,2026-03-13,False
False,/jIArNHIekrCSVgdMbKPAXpPY03Y.jpg,456,The Simpsons,The Simpsons,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",/uWpG7GqfKGQqX4YMAo3nv5OrglV.jpg,tv,en,"[10751, 16, 35]",169.2888,1989-12-17,False,8.019,10839,['US'],,,,
